gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,feature_type,gene_transform,q_value
LAS1L,0.36518333601723646,-1.0073557610470898,0.18648220407033905,0.08192904955751307,1.627736067059605,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.2858362776050686
MPP7,1.0353094704011025,0.03470038724263745,0.9345831312784909,0.452078109712242,2.3709745649584284,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.9439696836641253
LYPD3,0.26595126337729763,-1.3244422073734425,0.1313006355878606,0.04761051448695361,1.4855977771750903,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.22958307247956652
E2F6,0.16460800755071295,-1.8041883433762185,0.05639770350551237,0.02579532164318402,1.050415130488407,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.15364805686618788
FAM136A,0.4355955085777311,-0.8310411988632406,0.12994165575229172,0.1485790548072641,1.2770538037089165,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.22816947306767155
BLOC1S2,0.03987576003600092,-3.2219866575948037,0.007166630968222747,0.003808824626735678,0.41747163345020943,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
ECE1,0.9042522549292262,-0.10064691445193177,0.7664215458491729,0.46547127710239594,1.756654343173824,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.7987159008365694
DTNBP1,0.06060738076414293,-2.8033385985354142,0.012277623051165606,0.006754476593362334,0.5438252027847034,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
ELOB,0.32783417174428137,-1.1152473723939567,0.08200324364307572,0.09328715911981127,1.1520904396415967,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1793919327105481
PUS7,0.2663780665101845,-1.3228386766251718,0.018392736462412247,0.08869441177763669,0.8000196731176177,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
ZNF317,0.6297726686850926,-0.46239636807318435,0.39591228215009977,0.2165499001320059,1.8315114159876,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.4787741124248694
ZBTB8OS,0.6458858657761924,-0.43713246917402326,0.44513612212880904,0.21030135858965174,1.9836702644582405,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.5228103686007489
ARL16,0.25423369113672073,-1.3695013910991611,0.0922539251349577,0.05162328536983864,1.252046808837257,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.18948111462606063
LMCD1,0.2336272447636646,-1.4540284048473717,0.09921001082325985,0.04147880717440538,1.3158934215818296,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1964806426339017
BRD9,0.7067491024749382,-0.34707955234212207,0.31569615951708163,0.35876865934604407,1.3922461754591338,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.40733739374670996
BLOC1S3,0.15619734736400961,-1.8566350240254283,0.038798199373333515,0.026844183822091073,0.9088602389719664,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.13734466650942154
TAS2R42,0.2543014051724837,-1.3692350809205538,0.18561684774174025,0.03348402705181139,1.931344893869368,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.2849249861463279
MEX3B,0.06832084503008916,-2.6835403608709205,0.01579831533056331,0.007729106830403273,0.6039168519788611,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
TMEM178B,0.8169474760116234,-0.20218047503621284,0.6006171367629398,0.38323101736156945,1.7415166005002223,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.654761723219092
SH3RF2,0.7921247842337039,-0.23303634372769444,0.5668377638095361,0.3568138340893559,1.7585127420820752,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.625335860523322
LEPR,0.8730866219434165,-0.13572050476195857,0.7245457282221826,0.41041497319509046,1.857340251214999,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.7619847693114026
PRTN3,0.5629109794896425,-0.574633781480063,0.3001711563722227,0.18981808694777497,1.6693286499993518,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.39344157595156604
ANKRD29,0.5294645851718746,-0.6358889997055721,0.33202972534188613,0.1465029159171665,1.9134960229032358,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.4217181454787712
MAB21L2,0.7594450477640918,-0.2751673127382627,0.508473225243553,0.33594361108448184,1.7168261623179462,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.575646742956384
CYB5D2,0.7260271917847706,-0.32016781060973865,0.4736525473768255,0.3024263546609362,1.7429548552468341,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.5466328487446496
DDX49,0.10781214392289762,-2.22736497450605,0.0194474967419574,0.016647262503738682,0.698220405585673,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
CFAP299,0.6512987815983171,-0.4287867841542132,0.3894392412509058,0.24529760503819745,1.7292875845461189,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.47336226205130294
FAM204A,0.6443403677988881,-0.4395281710691958,0.5388968680010349,0.1585863619568134,2.6179710818277533,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.6012801814039936
ZNF329,0.7422492752767835,-0.29807014172569846,0.5550318613582704,0.27586223120614345,1.9971345270430085,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.615267528594348
