gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,gene_scaled
SLPI,1.1235781419914104,0.1165183625088981,0.6718634541310575,0.6553320291988549,1.9263942321027572,256,age+stage+tumor_fraction,zscore
RBPJL,0.8051996110172727,-0.21666506830495225,0.3721553979156913,0.5003236626660076,1.295853988051676,256,age+stage+tumor_fraction,zscore
SDC4,0.6998415981730017,-0.3569012578700816,0.1046694735331256,0.4547528958768828,1.0770206566555676,256,age+stage+tumor_fraction,zscore
CCDC70,0.6470659715720075,-0.43530702434394225,0.12408702152315833,0.37153914165966156,1.1269186059270162,256,age+stage+tumor_fraction,zscore
IL13RA1,0.8459900029202047,-0.16724773632492432,0.5683788203067901,0.4762128589687741,1.5028974366436783,256,age+stage+tumor_fraction,zscore
NBR1,1.2256579415365534,0.203477794944605,0.34052041477532485,0.8065902875627098,1.8624541019344063,256,age+stage+tumor_fraction,zscore
CYTH1,0.7107618325132469,-0.3414178806638249,0.02009634999857911,0.5329711510835001,0.9478606516142226,256,age+stage+tumor_fraction,zscore
RND3,0.9888845586517998,-0.011177679499151036,0.9480647535066524,0.7064438644909047,1.384246816333635,256,age+stage+tumor_fraction,zscore
BRCA1,0.8459414262998518,-0.1673051578250244,0.5968560760275092,0.45508898945589993,1.5724768414762407,256,age+stage+tumor_fraction,zscore
GAST,0.6712514738487495,-0.39861143748363403,0.1161485265801673,0.4082528354311633,1.103675227799102,256,age+stage+tumor_fraction,zscore
CNTNAP1,0.7710623839756914,-0.2599859956237517,0.3544706976386923,0.44472530440812996,1.3368638889876667,256,age+stage+tumor_fraction,zscore
NT5C3B,1.259543152184507,0.23074907758488092,0.27051762975202903,0.835522479267579,1.8987507716196568,256,age+stage+tumor_fraction,zscore
COA3,1.3166430257122512,0.2750853349284728,0.091895615434946,0.956190756290016,1.812973871325441,256,age+stage+tumor_fraction,zscore
ZPBP2,0.7750079466732953,-0.2548819959093656,0.3579761773314466,0.4500766638333125,1.3345222395916212,256,age+stage+tumor_fraction,zscore
MED24,1.3810840404965739,0.3228687273884464,0.04735055964500322,1.0037821258647355,1.9002063074904494,256,age+stage+tumor_fraction,zscore
PSMD3,1.2024786821680253,0.18438499491383958,0.3035934362032272,0.8462836416121551,1.7085937975996235,256,age+stage+tumor_fraction,zscore
EXOSC10,1.233909559797025,0.2101876325193949,0.1703939983325047,0.9136503824557214,1.666428243226041,256,age+stage+tumor_fraction,zscore
GLOD4,0.8058807223622232,-0.21581953457033018,0.2944922638256552,0.5383094190114454,1.2064506318089345,256,age+stage+tumor_fraction,zscore
VPS53,1.274438149355257,0.24250541431573017,0.3248489892114662,0.7864242021085985,2.0652881640432588,256,age+stage+tumor_fraction,zscore
TAOK1,1.3682926068276957,0.3135636902082188,0.06288231038070814,0.9832929825810012,1.904035410671816,256,age+stage+tumor_fraction,zscore
DNTTIP1,1.1652723010417285,0.15295479450570837,0.5077442118647462,0.7410762367723576,1.8322804971982793,256,age+stage+tumor_fraction,zscore
TNNC2,1.534676656389326,0.4283197115465303,0.004544070983897444,1.141660766564753,2.0629879808808655,256,age+stage+tumor_fraction,zscore
ACOT8,0.8219349576166186,-0.19609401404374438,0.4097067499373165,0.5156686819819455,1.3100990968768698,256,age+stage+tumor_fraction,zscore
CD300LG,0.9680377057395579,-0.032484240253890614,0.8690371050169645,0.6579492835453427,1.4242693520144654,256,age+stage+tumor_fraction,zscore
SPINT4,1.163886995486871,0.15176526168133558,0.41185205919088475,0.8100156519358994,1.6723540280066767,256,age+stage+tumor_fraction,zscore
PYY,1.2654201679318389,0.23540421559307964,0.13875752225309634,0.9265843075541645,1.7281624438853755,256,age+stage+tumor_fraction,zscore
MPP2,0.9957714353561298,-0.004237530306860746,0.9782171602835187,0.734607576217941,1.3497829093679723,256,age+stage+tumor_fraction,zscore
PPY,0.7581183886815096,-0.2769157199398066,0.04452335977668565,0.5786514510168939,0.9932464357378213,256,age+stage+tumor_fraction,zscore
VTN,1.2961359335099176,0.2593874793973586,0.2041633385792333,0.8684985611191741,1.934336374686409,256,age+stage+tumor_fraction,zscore
NLK,1.350693612408526,0.3006182474762837,0.2399848256716159,0.8180606428394317,2.2301197968269455,256,age+stage+tumor_fraction,zscore
TRAF4,1.2461862136842907,0.22008785838366848,0.13953491557557082,0.9306586812408885,1.6686891880771277,256,age+stage+tumor_fraction,zscore
ALDOC,0.9723655051638517,-0.028023511085619575,0.8971423338258753,0.635779793811708,1.4871417507058569,256,age+stage+tumor_fraction,zscore
STAC2,1.416744118619423,0.3483613647404097,0.011625531771752604,1.0808785765996223,1.856974447543534,256,age+stage+tumor_fraction,zscore
NEK8,0.7232832962052067,-0.32395429926166475,0.19532472973415,0.44296725039405277,1.1809873666825197,256,age+stage+tumor_fraction,zscore
CACNB4,1.3487656404255641,0.2991898337606465,0.05618319600166306,0.9921420937784083,1.8335768275535818,256,age+stage+tumor_fraction,zscore
PLXDC1,0.8490879453320921,-0.16359251107195374,0.38191700190639577,0.5884300662641414,1.2252098936505484,256,age+stage+tumor_fraction,zscore
ARL5B,1.5005612972220124,0.40583923626150636,0.004340949857922286,1.1353739773370504,1.9832092787627522,256,age+stage+tumor_fraction,zscore
ZNF207,0.9123028994810317,-0.09178321742570547,0.6271506759604775,0.6299415916352387,1.3212281764742253,256,age+stage+tumor_fraction,zscore
PSMD11,1.048073020811113,0.04695325981804852,0.8351989647652763,0.6734099002905757,1.6311863791698769,256,age+stage+tumor_fraction,zscore
C1QTNF1,1.2473343387999627,0.22100874527643177,0.27677315328047647,0.8375516889228676,1.8576082805712326,256,age+stage+tumor_fraction,zscore
PIPOX,1.0473086724733836,0.04622370455460301,0.8111216258732286,0.7168596485543234,1.5300839678310363,256,age+stage+tumor_fraction,zscore
TIMP2,0.8123070999623304,-0.20787680839672745,0.1306876798616366,0.6203635855564315,1.0636388724482744,256,age+stage+tumor_fraction,zscore
ZC3H18,1.1233486060186444,0.11631405146603241,0.42302669913241,0.8451594461676777,1.4931053499621785,256,age+stage+tumor_fraction,zscore
TOP2B,1.0485467691284973,0.047405176114670676,0.8561740119880729,0.6279939397777159,1.7507339759344984,256,age+stage+tumor_fraction,zscore
RARB,0.8496758343430914,-0.16290037359939608,0.5417634911527093,0.5034952376603293,1.4338745820544856,256,age+stage+tumor_fraction,zscore
IGFBP4,1.231259816176514,0.20803788600152967,0.17402779491093784,0.9121838123181472,1.6619465446096733,256,age+stage+tumor_fraction,zscore
CDC6,0.8125016035610488,-0.20763739116659347,0.17189934776259783,0.603184520515255,1.0944558975508059,256,age+stage+tumor_fraction,zscore
SUZ12,1.2488217203841132,0.22220048307240373,0.3020914451409162,0.8188803463281783,1.904497642782749,256,age+stage+tumor_fraction,zscore
ATAD5,1.1978960124944025,0.18056669500297007,0.20933858394665517,0.9036239954429868,1.5879999468656503,256,age+stage+tumor_fraction,zscore
CRLF3,1.0997236335088454,0.09505890597301367,0.6280864204413736,0.7486018713249721,1.6155343934117599,256,age+stage+tumor_fraction,zscore
