gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,gene_scaled
P2RY10,0.8431658554498345,-0.1705915960260509,0.28423453607181226,0.6170397456217456,1.1521602373929747,256,age+stage+tumor_fraction,zscore
MAP10,0.8916184093379749,-0.11471703015332615,0.46690730925051027,0.6545753607535599,1.2145024630245478,256,age+stage+tumor_fraction,zscore
SGMS2,0.8045720974293114,-0.21744469887797518,0.16620001090739325,0.5913981351832802,1.0945862380191396,256,age+stage+tumor_fraction,zscore
ZNF438,0.7436050437167611,-0.29624524032197047,0.06937923157819303,0.5401083098900646,1.023773289386262,256,age+stage+tumor_fraction,zscore
AMIGO1,0.8037420533867081,-0.21847689040085333,0.1640698426005016,0.5908433546777128,1.0933545808172054,256,age+stage+tumor_fraction,zscore
GJA1,0.6985229405396526,-0.3587872582479728,0.014005844196455746,0.5246725946113039,0.9299786256639574,256,age+stage+tumor_fraction,zscore
ZNF169,0.8279711772562219,-0.18877693527978875,0.24149922887103858,0.6037011724289038,1.1355556385767793,256,age+stage+tumor_fraction,zscore
INSL6,0.7402360105629545,-0.3007862104391195,0.0452033548193428,0.5514823331042012,0.9935936628284061,256,age+stage+tumor_fraction,zscore
KCNS2,1.1580191265132957,0.14671089586526184,0.3223567664354402,0.8660164668010593,1.54847898253495,256,age+stage+tumor_fraction,zscore
PRKCA,0.8763053161427573,-0.1320407143602134,0.4138387158919038,0.6384305002858841,1.2028106532444698,256,age+stage+tumor_fraction,zscore
LIN28A,0.9728432409461454,-0.02753231877234786,0.8612760939351746,0.7143874633342244,1.3248048433512583,256,age+stage+tumor_fraction,zscore
CREG2,0.6887066523693045,-0.37293985716449446,0.009766151587214103,0.5190190823641686,0.9138717036321425,256,age+stage+tumor_fraction,zscore
GDPGP1,0.7168800597892808,-0.33284673300409967,0.022477178040057177,0.5386462136641693,0.9540901004901439,256,age+stage+tumor_fraction,zscore
