gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,gene_transform,q_value
SUPT7L,0.06462733295441436,-2.739117846930245,0.016546537099319362,0.006879793681504779,0.6070955552096132,260,age+stage_num,log1p,0.08094766162165955
MAPK11,0.1271784098467923,-2.062164376391411,0.008189747638580082,0.02757800115550285,0.5864945700726131,260,age+stage_num,log1p,0.08094766162165955
SPAG16,0.21051536569059098,-1.558196632368964,0.07412991967525916,0.03806920732433751,1.1641093236924778,260,age+stage_num,log1p,0.14311624932980158
FES,0.07598238604602563,-2.577253728109191,0.06004155571365426,0.00517751160175429,1.1150767846258618,260,age+stage_num,log1p,0.1271386216899906
DAW1,0.1033756872503395,-2.2693854775313405,0.02768673848817238,0.01371032048271936,0.7794517077809686,260,age+stage_num,log1p,0.0897964245441626
CDH22,0.06732580059897032,-2.6982117487997335,0.008829312840628717,0.008935095127000026,0.5072988437017567,260,age+stage_num,log1p,0.08094766162165955
BCL3,0.3046308004514527,-1.1886547259330182,0.1265586992853036,0.06630258448144757,1.3996426430354239,260,age+stage_num,log1p,0.19875344447426213
SPACA3,0.5748597535827801,-0.5536291747474471,0.2769219370509185,0.2119009461807743,1.5595198711728901,260,age+stage_num,log1p,0.34950485258784114
MLLT11,0.10326562504919598,-2.270450726394954,0.022605346396473287,0.014666753225983084,0.7270722533129931,260,age+stage_num,log1p,0.08564303849745804
CIB4,0.7079222722094026,-0.34542097633020125,0.5964585787389889,0.1971068393816554,2.5425497413600433,260,age+stage_num,log1p,0.6478014755350712
PRX,0.2877299211872641,-1.2457330124863306,0.12481990650828007,0.05863058531909938,1.4120361769518308,260,age+stage_num,log1p,0.1969044822737885
ARHGAP20,0.587467510764807,-0.5319343353188305,0.19566412326358965,0.26246719729316825,1.3148998418218019,260,age+stage_num,log1p,0.2691439418561919
DAND5,0.279172087341154,-1.2759268867980922,0.09205521539896067,0.06326847830715784,1.23184651244567,260,age+stage_num,log1p,0.16298241825392687
NDFIP2,1.1312142227218756,0.12329158920867209,0.6714632511553115,0.6399010131714028,1.9997555736726005,260,age+stage_num,log1p,0.7142326089633843
DSPP,0.6981111615323834,-0.35937693169012935,0.4333907877826265,0.2840832419062414,1.715550662495401,260,age+stage_num,log1p,0.497982508989581
TRMT1L,0.07858847278959184,-2.543530246923079,0.02110477181956981,0.00904735710287386,0.6826466541746858,260,age+stage_num,log1p,0.08453019715565234
DDX10,0.23630098940352265,-1.4426489077327733,0.05909177727159962,0.052830033025003685,1.056939668514997,260,age+stage_num,log1p,0.1260839684467501
RAB4B,0.3282191875511644,-1.114073639051602,0.23057373574433,0.05310998652748344,2.028391308685407,260,age+stage_num,log1p,0.3037405204811856
DIS3L2,0.25484236808409433,-1.3671100893421853,0.1257129826920882,0.044289676502321004,1.4663605088040232,260,age+stage_num,log1p,0.19796999881657265
FICD,0.275139336961992,-1.2904776297726752,0.10319697453559216,0.05827284333361392,1.2990897717224843,260,age+stage_num,log1p,0.17517997030200994
TARM1,0.24048726791018493,-1.425088130920088,0.023786730773808384,0.06990079322534115,0.8273743881627142,260,age+stage_num,log1p,0.0862307865695045
EDDM13,0.06234084631085621,-2.7751384290075336,0.07345730771544834,0.002986009143682018,1.3015302136555205,260,age+stage_num,log1p,0.14228517173547472
RXFP2,0.49353911107691484,-0.7061531708134181,0.27269570952256883,0.13974298053322035,1.743063252502233,260,age+stage_num,log1p,0.34546676724158704
TRIM50,0.9175294817789743,-0.08607056684052941,0.861766064157127,0.3482345406672004,2.417509613838506,260,age+stage_num,log1p,0.8810925065019829
CACNG8,0.2167259512122219,-1.5291216212084713,0.056499596707256176,0.04502314262263914,1.0432443226480652,260,age+stage_num,log1p,0.12324481406142627
PHGDH,0.057850301567646596,-2.8498966124321563,0.007906832472418765,0.007062709914402388,0.4738489095585107,260,age+stage_num,log1p,0.08094766162165955
ADAMTS18,0.7300794527929385,-0.31460191131990123,0.37026717376561424,0.3668502066528573,1.452952724911011,260,age+stage_num,log1p,0.4399222510050914
