gene,spearman_r,p_value,n_samples
COASY,-0.019842281310790272,0.7478211684753002,265
SMO,-0.0007941555577516119,0.9897340587575184,265
TSPAN33,-0.034254124983069525,0.5787963678386435,265
CRNKL1,-0.06741423055588683,0.2741827610187832,265
RIN2,-0.014375731036279177,0.8158190914398253,265
FOLH1,0.02550196970105176,0.6794258541869731,265
CHORDC1,-0.09713783189219716,0.11466971774344889,265
RTCB,0.018296531516287136,0.7668766861641289,265
PWP1,-0.05426858618336015,0.3789129467091844,265
FBXO7,-0.10208042651045719,0.09727148154357511,265
CAPNS1,-0.015911162934782293,0.7965559698185727,265
LRP3,0.00026117174250053006,0.9966237856824114,265
DSG4,-0.03973357262758064,0.5195673804679861,265
EVX2,-0.02382176482429835,0.6994878988179182,265
HOXD13,-0.04097010797633315,0.5066447985127442,265
HOXD12,-0.021374166432543383,0.7290864860879598,265
FOLR1,0.01072577532627177,0.8620363358816192,265
CLPB,-0.03013470500506116,0.6253023776514147,265
SEPTIN7,-0.04699414706909538,0.44617107949919,265
ZDHHC4,-0.021293880304293217,0.7300644986626319,265
RAC1,0.034770664651570575,0.5730807751653637,265
NUP214,0.025692205908552146,0.6771682301713748,265
AIF1L,0.010561011424521436,0.8641350166992859,265
CPA3,0.02418192388154908,0.6951693338729136,265
LTBP1,0.012171248069024705,0.8436677114011123,265
UGP2,0.02421158783254914,0.6948140774956493,265
KCNH6,-0.007777436544265786,0.899723300884057,265
TRMT1,0.03814397177507742,0.5364246743993675,265
NACC1,0.0004575342007509286,0.9940854090052071,265
NFIX,-0.034010364690069024,0.5815028298452329,265
SLC1A5,-0.05948267044012072,0.3347528879253905,265
UBA1,-0.03859376755382833,0.5316270909214571,265
VWF,0.13466853372377333,0.028388490212274603,265
SIAE,-0.08216237315091675,0.18238766421903174,265
VSIG2,-0.07527872434765279,0.22193853328777555,265
ESAM,-0.053446378845858476,0.38618827205932704,265
SPA17,0.01651056820553351,0.78906861750911,265
FAM50A,0.007415020447265049,0.9043731788821522,265
EMD,0.007026164741764261,0.9093659070211626,265
TACO1,-0.01637708042603324,0.790734404506025,265
GRIK3,-0.05354826806885868,0.3852821268988865,265
GRIA3,-0.07639853849790505,0.21511916113477836,265
