gene,HR,coef,p_value,CI_lower,CI_upper,n_samples
CSPP1,0.9986250346738819,-0.001375911458307712,0.5409553999314503,0.9942298187178286,1.0030396806680777,265
SETD3,0.9981603329895924,-0.0018413612760041812,0.4011913037782652,0.9938784397186581,1.0024606737982242,265
ST8SIA3,0.9838423616747672,-0.016289596313555973,0.3798625444501006,0.9487150842011471,1.0202702673804636,265
FOXB2,0.9835257738570272,-0.016611435236078893,0.6399642621546311,0.9173953355426037,1.0544232244966998,265
TTC26,0.9989397783551014,-0.0010607840774374468,0.1974456611734191,0.99732966171151,1.000552494415621,265
PCBP2,0.9988862255750826,-0.001114395132580681,0.32708298100398425,0.99666245204958,1.0011149608292853,265
POU3F4,0.9971177754206029,-0.0028863861870424097,0.08488380607372029,0.9938493064424316,1.0003969934020607,265
JAKMIP3,0.99796039016729,-0.002041692669443066,0.3841126277301822,0.9933825251318542,1.0025593516562594,265
GULP1,1.000393822818898,0.0003937452910458887,0.7930815196149189,0.9974549626896833,1.0033413418842876,265
GADL1,0.9984571497959015,-0.0015440416230864428,0.5145321478677451,0.9938321005198303,1.0031037229096458,265
GLIPR1,0.9987037389874552,-0.001297101885590381,0.760727670063452,0.9904009532457259,1.007076129116021,265
IMMP2L,0.9942767337953096,-0.005739706852193325,0.5520661962208337,0.9756442842950506,1.0132650180808156,265
USP13,1.0554538936776252,0.05397090537927327,0.23508541916967618,0.9654911760008744,1.1537991743160698,265
C12orf50,0.998728470949438,-0.0012723381295430742,0.4157707211876548,0.9956726666027641,1.0017936538203178,265
SIPA1,0.9996678039539455,-0.0003322512353838119,0.7209330712709026,0.9978470615449483,1.0014918686184744,265
CEP162,0.9998413855918667,-0.00015862698872888518,0.9584620412803521,0.9938908055516444,1.0058275926875133,265
ACBD4,0.9978747990557763,-0.002127462388334057,0.33161290305986724,0.9935982587622776,1.0021697459806478,265
COMMD7,0.9998788069983312,-0.00012120034613404741,0.9158211488963084,0.9976341996462372,1.0021284645603787,265
MAB21L1,0.998604989973658,-0.0013959839586979391,0.14143373536120019,0.9967486339844212,1.0004648032613963,265
TATDN2,0.9849028861844137,-0.01521223537680755,0.3536095271563495,0.9537493119500565,1.0170740707859973,265
JMJD6,1.0016057206221984,0.0016044328312109543,0.3102881729605042,0.9985062235982964,1.0047148388999039,265
GJC3,1.0005281471467427,0.0005280077261260208,0.6332307532212333,0.9983606401234314,1.002700359971252,265
MAGEL2,0.9996094166745734,-0.00039065962296139304,0.7365092951968313,0.9973373331791926,1.0018866763157157,265
