gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,feature_type,gene_transform,q_value
CIITA,1.1529232651496901,0.1423006867302306,0.3165203697396592,0.8727129949026892,1.5231033147061563,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.6021915340722126
EMP2,0.9465806452093264,-0.054899108360344895,0.7034830172871431,0.7134847176972756,1.255829165867397,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.8528049986750642
C16orf72,1.2097307645671274,0.19039782622772478,0.37608047873477535,0.7935813843661335,1.84410641626767,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.6446801679094708
BCL6,1.0920633428674176,0.08806888192925741,0.7234726863544354,0.6704667162197889,1.7787644277986885,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.8636704257447555
TP63,1.0559832163764493,0.054472291574857674,0.7033796023471541,0.7977800294676768,1.3977544085840408,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.8527786051202172
CLDN1,1.2256212620947589,0.2034478681686238,0.29604100194163935,0.8368204068924018,1.7950655430083169,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.5869337690236955
IL1RAP,1.3052949709733228,0.2664290466305914,0.18667851495897395,0.878947619351795,1.9384488037009078,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.4974620937271355
ANKS3,0.875032832309494,-0.1334938706890575,0.34786493681084285,0.6621840939180937,1.1562984744757145,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.6240104518816543
NUDT16L1,1.288974020943447,0.25384656932683075,0.0633592823088066,0.9859755902149665,1.6850863684210282,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.3278660792577555
MGRN1,1.5800288085105594,0.4574430801071833,0.023446083329958747,1.063744648630813,2.346889395811888,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.21232180174147128
C16orf96,1.2681031963256275,0.23752223781829357,0.1640992624928277,0.9075068412328442,1.7719819217524524,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.47714035118912157
SRL,1.2684425872012108,0.23778983864758896,0.10285404183426196,0.9531997299694273,1.6879427746767266,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.4008585548311812
CREBBP,0.7181449468502201,-0.3310838544721363,0.23337451828526035,0.4166097191519275,1.2379263876425082,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.5391119021581655
FGF12,1.3313716165833587,0.28620970148295555,0.04195563564497458,1.010466774407782,1.7541896738590426,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.2804864972741581
PLAAT1,1.2924965284072674,0.2565756414450158,0.290776783203467,0.802963013293898,2.0804784881584446,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.5846855152872354
ZNF251,1.1185113846625498,0.11199868040545523,0.6052684801088646,0.7314516376254323,1.710390206632351,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.7970261943068175
HES1,1.1374470824364917,0.12878634982588386,0.5873809783831685,0.7143503385090691,1.8111363508885099,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.7867128966052592
ZNF263,1.0432215896705361,0.0423136075958625,0.8503402356598112,0.6721859727021487,1.619062773327108,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.9286672507133106
ATP13A3,1.3911277507485764,0.33011474966493,0.04214135980551792,1.011790834512144,1.91268427514063,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.2804864972741581
MEFV,0.8046113908141992,-0.21739586245231862,0.2602626400173036,0.5510765458225954,1.1747904989525237,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.5613399529726003
GLYR1,1.2194575423570089,0.1984061224523514,0.3349364301687339,0.8147341412350919,1.8252293875362458,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.6167907708363186
TMEM44,1.2834838437727771,0.24957813361662493,0.3213250992782267,0.7837533536025822,2.1018484573669265,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.6061455875311847
LSG1,0.6800305805368552,-0.3856175104454385,0.06233851676346064,0.45333961129179884,1.0200776171920147,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.3252882834521677
ROGDI,1.1285539979533896,0.1209371654469626,0.47312850659547956,0.8110150728935617,1.570419797196213,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.7139814161952048
SEPTIN12,1.1960915481583145,0.17905919788187105,0.3746800093470445,0.8055181591931001,1.7760431285730949,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.6440958217781293
ERCC4,1.1315153940189708,0.1235577909648568,0.35905426802188556,0.8689394954493105,1.4734364056497125,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.6324187459446513
GPT,0.891975665601274,-0.11431642749031377,0.6642961902940246,0.532279063216564,1.494743346125429,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.8327969102979905
APOD,0.6140694798990085,-0.48764719779240223,0.00039972249520402913,0.46878144002889377,0.8043862105978367,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.08056203956656578
